Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad)
2.0,-0.010857218209561897,-0.00014252526221190248,-0.0036121518916977235,0.0005419030042960737,-0.00042989120064015895,0.00024137263629422923,-3.649388647830598e-06,8.354157321956157e-06,2.9918481158075494e-06,-2.0229888593320533e-06,3.197396958032339e-07,-1.4048854612286332e-07,1.1096861846082717e-08,-3.1051260673820025e-08
2.0500000000000003,-0.00976003881396209,-0.0009319281919583158,-0.003135744001517282,1.7069842892319942e-05,-0.0004370053856903866,0.0002078399879307663,-2.3981803081191133e-05,2.9654642091668515e-05,3.1739368423766567e-06,-2.382441308332317e-06,5.196436048404696e-07,-5.314357048868956e-07,-2.08994515582539e-08,2.586946424437686e-08
2.1,-0.009818187453106614,-0.00025260730341249843,-0.0027387356957112308,-0.00032453452634764735,-0.0003627032696923438,7.540717113266315e-05,-5.0047692848803615e-05,5.2655330010413504e-05,4.965474149631888e-07,1.8333573800349834e-06,9.073532018233355e-07,-9.342387426586329e-07,2.2884788786203814e-08,-7.373726906151346e-08
2.15,-0.011001148144020867,0.001729603324700249,-0.002650557185711222,-0.00018779170248515997,-0.00022315890350574352,-0.00010336858953422651,-6.213801353055493e-05,4.947699290255847e-05,-5.6968767256082575e-06,8.933862054340269e-06,7.152860411752116e-07,-2.659222187798016e-07,1.6565198782125812e-07,-2.434303373877178e-07
2.2,-0.012528313883854642,0.0038736894027002963,-0.002944822896760152,0.0004238476091861995,-0.00010219135409439417,-0.00020234128827873593,-4.535233321908971e-05,1.2135770720372863e-05,-1.1286990934805674e-05,1.2018842766241267e-05,-4.5348567825898023e-07,1.3444539812695888e-06,2.409515385826122e-07,-2.1598884715479105e-07
2.25,-0.013368385637376162,0.004889928782200889,-0.0034361329904003257,0.0011472950065772522,-8.554350090667073e-05,-0.00014002711487975938,-7.971328655514975e-06,-3.4539818641265985e-05,-1.1262879345858012e-05,6.855322455631696e-06,-1.8773904352231696e-06,2.4418969256437273e-06,9.210918552882141e-08,8.084805744323909e-08
2.3000000000000003,-0.012923038494201455,0.004286369671053787,-0.0038095121691451017,0.0015472380456541188,-0.00018659929025954813,4.024704683296132e-05,2.4276205231710257e-05,-5.5676754062219946e-05,-5.141480055370629e-06,-3.0177682473417344e-06,-2.3577973652932904e-06,1.838802202308587e-06,-2.0726906801993294e-07,3.949708718212208e-07
2.35,-0.011259917185122259,0.002495214123880568,-0.0038535303081422834,0.00146341291817699,-0.0003424292734120482,0.0002184327015003762,3.2280635355874665e-05,-4.131520646442899e-05,2.3055298087326648e-06,-9.569245422474948e-06,-1.4806417865664834e-06,-2.2515548633861293e-08,-4.0635094011864936e-07,4.1669020399426326e-07
2.4000000000000004,-0.008783763967468827,0.00016694054093358002,-0.0035544717056034125,0.0010310905301027518,-0.00048103931926790633,0.000319974795534958,1.868836804036489e-05,-1.2027709514236817e-05,6.120023001154884e-06,-9.059481841794392e-06,-6.644355537988034e-08,-1.4751749724956076e-06,-3.4223827405366336e-07,1.2789029013582365e-07
2.45,-0.005884282985111622,-0.0023447179077860925,-0.002991296648987285,0.0004107892272348507,-0.0005740376716951157,0.00035597274451894256,-3.128108241823302e-06,1.1918771715052623e-05,5.882157911196728e-06,-5.153916077027532e-06,8.164502354746084e-07,-1.6001310167157445e-06,-1.1740831523665562e-07,-1.6288584198109746e-07
2.5,-0.002966910526248645,-0.004739644917442845,-0.0022273730951445914,-0.0003517157159799028,-0.0006176814558191412,0.00034716994220712616,-2.774911154207471e-05,3.2258372919730105e-05,4.073260574666282e-06,-2.173621067108611e-06,1.0075140998155874e-06,-1.0981660296532914e-06,5.293691751617757e-08,-2.256711023052027e-07
2.5500000000000003,-0.0006068868658716253,-0.006408313712939026,-0.0013451622931711649,-0.0011819742697442848,-0.0005937747215335465,0.00026882867185011594,-5.7125341809793895e-05,5.654597006798934e-05,1.4306097777527782e-06,7.227180883334627e-07,9.968882548339053e-07,-8.439821360256561e-07,1.1516497910868395e-07,-1.7350092357260039e-07
2.6,0.0006044816607073678,-0.006683455472328556,-0.0005197044428129072,-0.0018479199386665923,-0.0004798432190186719,9.761789332415893e-05,-8.656277807661539e-05,7.613540651513206e-05,-3.404773339654721e-06,6.065152014261832e-06,8.778212116089534e-07,-5.584537036834591e-07,1.697306603043458e-07,-1.9498300035669658e-07
2.6500000000000004,0.00044693915179944144,-0.005429954836288671,2.790616566389348e-05,-0.0020835796907969703,-0.00029089756810940504,-0.00012404605912509636,-0.00010210191885734465,7.325195212355001e-05,-1.0294419568457336e-05,1.2327664424868767e-05,2.2573960001270876e-07,4.26141798542945e-07,2.422943738422667e-07,-2.328844684804099e-07
2.7,-0.000737857541584952,-0.0032330560139035847,0.0001692794338454262,-0.001810906882292046,-8.798650766450589e-05,-0.00030508625886445373,-9.346187582121024e-05,4.373110532773783e-05,-1.6238709294014164e-05,1.497746976691916e-05,-1.070885761011997e-06,1.8449662858854854e-06,2.2366594443212762e-07,-1.1275563400331423e-07
2.75,-0.002239881858610654,-0.0010152025120572367,-5.166152254154621e-05,-0.001196882808151549,6.053379748779952e-05,-0.00037903442984235647,-6.423168423527748e-05,2.747025011642923e-06,-1.8162539014682233e-05,1.1959529667260327e-05,-2.4255228024405717e-06,2.68290504899793e-06,4.560283373145069e-08,1.545103620326227e-07
2.8000000000000003,-0.0033501582515613193,0.0004912344625514903,-0.0004684566453896921,-0.0005092964597039548,0.00012032463959429918,-0.0003462878146824333,-2.7352497395383146e-05,-3.1046295036314675e-05,-1.5837793247402976e-05,5.865056946344205e-06,-3.130537350598539e-06,2.3934996881483372e-06,-2.0229943428762276e-07,3.655848397274286e-07
2.85,-0.003594554136249678,0.0009524679256623786,-0.0009023016895212677,6.110986529498513e-05,9.510676024218623e-05,-0.00024773265993006943,6.9007147472099906e-06,-5.225029020451688e-05,-1.1423042137137518e-05,6.498300701429649e-07,-3.071646929031502e-06,1.4898606147256688e-06,-3.67995766470397e-07,3.6972913423916065e-07
2.9000000000000004,-0.0027401335419812156,0.00026697699478971104,-0.001217001021855818,0.00042972344031814297,-8.572503545356547e-07,-0.00010752134916117845,3.591993863910625e-05,-6.753771568113187e-05,-6.4800642174400735e-06,-2.9839808598844386e-06,-2.7143301883358895e-06,8.803984362579231e-07,-4.0566497852556616e-07,2.4408386087998446e-07
2.95,-0.0007730160019384369,-0.0015542835948759437,-0.0012902450466591164,0.0005056146735517228,-0.0001583394189264009,7.7529760119599e-05,5.682340354215554e-05,-7.684085724176531e-05,-2.458692734130796e-07,-8.007978395660476e-06,-2.3654821634244705e-06,6.651162177684355e-07,-4.1994195193462147e-07,2.0790019386596192e-07
3.0,0.0019901791400716295,-0.004176483394809041,-0.0010026521488440687,0.00015810294387860746,-0.0003495008089908769,0.00028032783797135585,5.771123262712785e-05,-6.308032604317865e-05,8.00330960118445e-06,-1.5473525021271473e-05,-1.5976434840359044e-06,-1.6440272015277868e-07,-5.108004542397904e-07,3.2938305315199923e-07
3.0500000000000003,0.0048361043753383515,-0.006767280738690644,-0.0003251773283372561,-0.0006251867527664323,-0.0005025254903550103,0.0004068829927946979,2.571333115519714e-05,-1.2323338008442264e-05,1.5146961935941228e-05,-1.991160621680338e-05,1.8659010728172554e-07,-2.2614900085857204e-06,-5.710212499787648e-07,3.4369596446648387e-07
3.1,0.006890687032425458,-0.008315848429884025,0.0005840644698605624,-0.0015948951253066182,-0.0005305853816671702,0.00035933203588179446,-3.363731780361978e-05,5.858626156108465e-05,1.5223582317508422e-05,-1.407152661520722e-05,2.5229627656220277e-06,-4.386829643654444e-06,-3.5419210986376015e-07,-4.834113649654359e-08
3.1500000000000004,0.007560107202816413,-0.008243692337929796,0.0014198731282148158,-0.002341589509188065,-0.00039981685837070513,0.00013543194633203887,-9.204922900138413e-05,0.00010799924889681733,5.642244251313766e-06,1.6012873975158881e-06,3.7911523008693493e-06,-4.329722910111078e-06,1.7759153486673895e-07,-6.883295468884665e-07
3.2,0.006810672258248551,-0.006715932858112025,0.0019005949146280454,-0.002565303382859433,-0.00016197703858622514,-0.000156640544281713,-0.00011875556311743973,0.0001061581343363184,-8.971212079517121e-06,1.7542344952926198e-05,2.759001360624902e-06,-1.4886880696576843e-06,6.919976503760861e-07,-1.0173116220639489e-06
