Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
4.424999999999999822e+00,-3.733586665980665575e+00,-2.063100000000000378e+00,-1.432079999999999118e-02,1.516516587057873018e-02,-1.335880676397902672e-02,1.573032752680821739e-02
4.450000000000000178e+00,-3.302131261770023141e+00,-1.781900000000000039e+00,-9.184699999999991829e-03,1.803448716085740908e-02,-8.725261995236221341e-03,1.832355547085734448e-02
4.475000000000000533e+00,-1.998374899128048776e+00,-1.486499999999999932e+00,-4.616100000000003187e-03,2.056521457624918212e-02,-3.912353969723159769e-03,2.099228740465387821e-02
4.500000000000000000e+00,-1.535585560119727910e+00,-1.179300000000000015e+00,1.109000000000008932e-04,2.315702851546076399e-02,1.066215202766678796e-03,2.372353675717586360e-02
4.525000000000000355e+00,-1.266906873256512966e+00,-8.592999999999999527e-01,5.768699999999995533e-03,2.622706266971878974e-02,6.198044258183427538e-03,2.650574798422719244e-02
4.549999999999999822e+00,-1.902012527876407511e+00,-6.888000000000000789e-01,9.913200000000003953e-03,2.845061213675956907e-02,1.147209939107599920e-02,2.932927986085623329e-02
4.575000000000000178e+00,-2.176312277520517369e-01,-2.861000000000000210e-01,1.503740000000000632e-02,3.117158044061872635e-02,1.687870292042706333e-02,3.218678470533545971e-02
4.600000000000000533e+00,-1.015104986854630020e+00,-9.879999999999998506e-02,2.124169999999999531e-02,3.442487416633615432e-02,2.240944690192985672e-02,3.507345338090654685e-02
4.625000000000000000e+00,-2.204421862919344832e+00,-6.430000000000000993e-02,2.763509999999999578e-02,3.773750908662139303e-02,2.805703732035415982e-02,3.798710438624568198e-02
4.650000000000000355e+00,4.738907225923091326e-01,2.811000000000000165e-01,3.410680000000000656e-02,4.105712532391460334e-02,3.381507839435016899e-02,4.092810747652352032e-02
4.674999999999999822e+00,-1.324513188283099385e+00,1.320000000000000062e-01,3.969199999999999118e-02,4.390201200466536946e-02,3.967781183522171851e-02,4.389914603328935738e-02
4.700000000000000178e+00,-9.880727610964918917e-01,1.419999999999999873e-01,4.434199999999999947e-02,4.625820649485770653e-02,4.563983205933475062e-02,4.690483586971946200e-02
4.725000000000000533e+00,5.549522640557330577e-01,2.568000000000000282e-01,4.993510000000001003e-02,4.908738521234051744e-02,5.169580360504062722e-02,4.995122985686401701e-02
4.750000000000000000e+00,-8.860138139685822534e-01,-2.310000000000000941e-02,5.567189999999999639e-02,5.198812242915509113e-02,5.784020807161539129e-02,5.304524551477866889e-02
4.775000000000000355e+00,5.850519470180363113e-01,2.010000000000000120e-01,6.263240000000000474e-02,5.551892350593962133e-02,6.406714208442693126e-02,5.619405441913075117e-02
4.800000000000000711e+00,-1.960645166750337953e+00,-1.401999999999999913e-01,6.978729999999999656e-02,5.917189763036375533e-02,7.037017683363347431e-02,5.940446887012491156e-02
4.825000000000000178e+00,-1.237136601500208766e+00,-2.794999999999999707e-01,7.492290000000000061e-02,6.181432611788317127e-02,7.674227973794454927e-02,6.268235694020332649e-02
4.850000000000000533e+00,2.873989682111223742e-01,-3.295000000000000151e-01,8.110339999999999216e-02,6.502573194155272795e-02,8.317579483526624240e-02,6.603211532796798844e-02
4.875000000000000000e+00,-2.768652545736476789e+00,-9.207000000000000739e-01,8.944760000000000211e-02,6.942221632732645253e-02,8.966248028785785140e-02,6.945623026761331420e-02
4.900000000000000355e+00,-2.405489319759373523e-01,-8.077000000000000846e-01,9.471370000000001177e-02,7.223743241079329247e-02,9.619360425283260407e-02,7.295495680260449811e-02
4.925000000000000711e+00,-1.863729488918292043e+00,-1.141899999999999915e+00,1.010174999999999962e-01,7.564606043993822582e-02,1.027600992025510668e-01,7.652614194970483452e-02
4.950000000000000178e+00,-1.772478393870915658e+00,-1.248299999999999965e+00,1.083635000000000015e-01,7.967951634129712135e-02,1.093527672322272687e-01,8.016520525518405771e-02
4.975000000000000533e+00,-4.057626292547972802e-01,-1.235800000000000010e+00,1.125879000000000046e-01,8.202698418522949564e-02,1.159625168715019139e-01,8.386527254997079572e-02
5.000000000000000000e+00,-2.454467490631714099e+00,-1.350600000000000023e+00,1.222026000000000084e-01,8.744274085416790798e-02,1.225806008867344477e-01,8.761744111526802159e-02
5.025000000000000355e+00,-2.400641200943455011e+00,-1.238099999999999978e+00,1.275755000000000083e-01,9.050579369141795172e-02,1.291988205937773804e-01,9.141114349112883231e-02
5.050000000000000711e+00,-1.425362387818113419e+00,-1.348100000000000076e+00,1.339700000000000057e-01,9.418145709611801253e-02,1.358096682582739523e-01,9.523457513254780793e-02
5.075000000000000178e+00,-1.395459729643503177e+00,-1.181100000000000039e+00,1.403095999999999788e-01,9.785013918381009479e-02,1.424063928136295454e-01,9.907515447560916177e-02
5.100000000000000533e+00,-1.063400606123204861e+00,-1.048000000000000043e+00,1.477072000000000107e-01,1.021558664484801121e-01,1.489829884926034409e-01,1.029199868039163690e-01
5.125000000000000000e+00,-5.943302748456955609e-01,-6.178000000000000158e-01,1.540488000000000135e-01,1.058559644627080909e-01,1.555341137627950232e-01,1.067563026092660933e-01
5.150000000000000355e+00,-2.420720036948541320e+00,-4.687999999999999945e-01,1.603223000000000009e-01,1.095176652333921807e-01,1.620549463962232539e-01,1.105718388284672588e-01
5.175000000000000711e+00,9.928773848961917059e-01,3.949999999999998651e-02,1.675634000000000012e-01,1.137361260354624870e-01,1.685409740764083897e-01,1.143551324163636085e-01
5.200000000000000178e+00,6.458067826574290793e-01,2.223999999999999866e-01,1.727087999999999957e-01,1.167223843856247806e-01,1.749877181886849986e-01,1.180957048589169889e-01
5.225000000000000533e+00,4.953395800891024492e-01,5.957000000000000073e-01,1.808339999999999947e-01,1.214085934272295525e-01,1.813903981559639167e-01,1.217841335431214256e-01
5.250000000000000000e+00,1.685014929169587283e+00,1.087699999999999889e+00,1.858564000000000049e-01,1.242831507052642032e-01,1.877435614380036921e-01,1.254120244264233519e-01
5.275000000000000355e+00,5.128567529594009189e-01,1.150399999999999867e+00,1.928786999999999863e-01,1.282642467290632804e-01,1.940407181724474739e-01,1.289719104803730143e-01
5.300000000000000711e+00,2.889683922662793059e+00,1.598200000000000065e+00,1.999098000000000264e-01,1.322052001800664567e-01,2.002740200030751483e-01,1.324570987692738899e-01
5.325000000000000178e+00,1.563019949066269731e+00,1.558400000000000007e+00,2.058920999999999946e-01,1.355195804296037143e-01,2.064340115791671870e-01,1.358614825037187113e-01
5.350000000000000533e+00,2.297542820938726749e+00,1.666600000000000081e+00,2.107834000000000096e-01,1.382021514899189896e-01,2.125094702087356457e-01,1.391793320839464776e-01
5.375000000000000000e+00,2.959009781928394478e+00,1.699100000000000055e+00,2.174880000000000146e-01,1.418394176510751614e-01,2.184873420885496687e-01,1.424050835370690438e-01
5.400000000000000355e+00,1.378967121073648272e+00,1.544899999999999940e+00,2.231183000000000194e-01,1.448570919277733515e-01,2.243527824851473951e-01,1.455331491067028971e-01
5.425000000000000711e+00,3.153639312455915888e+00,1.614300000000000068e+00,2.294936000000000198e-01,1.482325587011304180e-01,2.300893066392640240e-01,1.485577769277703075e-01
5.450000000000000178e+00,2.090319358755083012e+00,1.291900000000000048e+00,2.339230000000000198e-01,1.505538466062828484e-01,2.356790533565506496e-01,1.514729824520485435e-01
5.475000000000000533e+00,1.888363008922848030e+00,1.258999999999999897e+00,2.391320999999999863e-01,1.532556162883700890e-01,2.411031545052330360e-01,1.542725656624464314e-01
5.500000000000000000e+00,1.725796390312021922e+00,1.163899999999999935e+00,2.450674000000000186e-01,1.563029611623522053e-01,2.463421944090842808e-01,1.569502182142575863e-01
5.525000000000000355e+00,-1.103583866825831872e-01,8.469999999999999751e-01,2.499920999999999949e-01,1.588057633097120502e-01,2.513767358857778023e-01,1.594997149697578165e-01
5.550000000000000711e+00,1.632756989395751424e+00,9.079000000000000403e-01,2.546896000000000160e-01,1.611741751046683602e-01,2.561878844862218729e-01,1.619151753731336296e-01
5.575000000000000178e+00,9.811481910259945982e-01,6.221999999999999753e-01,2.598608000000000584e-01,1.637590077268719635e-01,2.607578584716020442e-01,1.641913723825016158e-01
5.600000000000000533e+00,8.860294329644521349e-01,4.903000000000000136e-01,2.633599000000000356e-01,1.654938650033543346e-01,2.650705290426961236e-01,1.663240607865344445e-01
5.625000000000000000e+00,2.590772907206981834e+00,5.531000000000000361e-01,2.679502999999999746e-01,1.677593023724429644e-01,2.691118941572644974e-01,1.683102924143698997e-01
5.650000000000000355e+00,1.733650421159341537e+00,4.788999999999999924e-01,2.715934999999999877e-01,1.695465195264851399e-01,2.728704513960243938e-01,1.701486828021702702e-01
5.675000000000000711e+00,1.975500452108109650e+00,8.015999999999999792e-01,2.755338000000000509e-01,1.714733630206868864e-01,2.763374419626223322e-01,1.718395940008103917e-01
5.700000000000000178e+00,1.962856010199368173e+00,9.599999999999999645e-01,2.791359999999999952e-01,1.732344002359491597e-01,2.795069488190309870e-01,1.733852045831139610e-01
5.725000000000000533e+00,1.614827686650826655e+00,1.181799999999999962e+00,2.814747999999999695e-01,1.743810815545094595e-01,2.823758451128683400e-01,1.747894515968506646e-01
5.750000000000000000e+00,2.711227489115606737e+00,1.576300000000000034e+00,2.844176999999999955e-01,1.758366861506727163e-01,2.849436014959157992e-01,1.760578462538459621e-01
5.775000000000000355e+00,3.110918595563667566e+00,1.907599999999999962e+00,2.862964000000000064e-01,1.767791639467496678e-01,2.872119703739852703e-01,1.771971787213240390e-01
5.800000000000000711e+00,2.067281935194701603e+00,2.277800000000000047e+00,2.889280999999999655e-01,1.781352847755492685e-01,2.891845707436798696e-01,1.782151331703228370e-01
5.825000000000000178e+00,3.754231966544302246e+00,2.569600000000000328e+00,2.903374000000000232e-01,1.788910123416627973e-01,2.908663995489423892e-01,1.791198334031001149e-01
5.850000000000000533e+00,4.312432825373230472e+00,2.790700000000000180e+00,2.917788000000000048e-01,1.797008451145881425e-01,2.922632960978173156e-01,1.799193371878075598e-01
5.875000000000000000e+00,3.389211780322011425e+00,2.909399999999999764e+00,2.929479999999999862e-01,1.804111941201498592e-01,2.933813875998898535e-01,1.806210995046398926e-01
5.900000000000000355e+00,4.735176951131913725e+00,2.986399999999999721e+00,2.939829999999999943e-01,1.811250337842155445e-01,2.942265480259190213e-01,1.812314332768679981e-01
5.925000000000000711e+00,5.599572579343006673e+00,3.018099999999999561e+00,2.945136999999999894e-01,1.815666020849701079e-01,2.948039077004231401e-01,1.817550072208569123e-01
5.950000000000000178e+00,3.708504704058383172e+00,2.834800000000000431e+00,2.949701000000000128e-01,1.820884555313164177e-01,2.951174527856226248e-01,1.821944270434379676e-01
5.975000000000000533e+00,4.514740874086141886e+00,2.747899999999999565e+00,2.950903999999999749e-01,1.824968625762830865e-01,2.951697482763379621e-01,1.825499427668814678e-01
6.000000000000000000e+00,4.594654591678401623e+00,2.436300000000000132e+00,2.949318000000000217e-01,1.827569166348302354e-01,2.949618057201383037e-01,1.828193115513854772e-01
6.025000000000000355e+00,4.159744567328465870e+00,2.291400000000000325e+00,2.945390999999999426e-01,1.829349402185336815e-01,2.944931019612463396e-01,1.829978273395426180e-01
6.050000000000000711e+00,3.807181144037767861e+00,2.045199999999999907e+00,2.939054999999999862e-01,1.830222066811333648e-01,2.937617423456431731e-01,1.830785123049125940e-01
