Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
5.175000000000000711e+00,1.221246181353041305e+00,6.968999999999999639e-01,5.063420000000001114e-02,1.281368376936677100e-01,5.075348328612702686e-02,1.284398486193123468e-01,4.632331874556407103e-02,1.383658011845705360e-01,-4.430164540562955833e-03,9.925952565258189253e-03,5.578375650407240566e-02
5.200000000000000178e+00,1.476626290880735104e-01,6.632000000000000117e-01,5.279730000000000534e-02,1.311667292751298453e-01,5.345383650247376162e-02,1.322208833081836843e-01,4.898047716628597947e-02,1.422472144947322936e-01,-4.473359336187782143e-03,1.002633118654860933e-02,5.578375650407240566e-02
5.225000000000000533e+00,-3.938397040718081832e-01,7.005000000000000115e-01,5.538460000000000605e-02,1.347446542417182203e-01,5.616189653572637580e-02,1.359511259164818131e-01,5.164515358885522767e-02,1.460782694626973355e-01,-4.516742946871148134e-03,1.012714354621552237e-02,5.578375650407240566e-02
5.250000000000000000e+00,1.293354952098811905e+00,7.896999999999999575e-01,5.886240000000000222e-02,1.394622792098589026e-01,5.887999918422626849e-02,1.396236582244204938e-01,5.431997194155437081e-02,1.498513611149937252e-01,-4.560027242671897685e-03,1.022770289057323145e-02,5.578375650407240566e-02
5.275000000000000355e+00,5.536323097864723763e-01,7.130999999999999561e-01,6.105200000000000210e-02,1.423734884021854441e-01,6.160854713959719453e-02,1.432323788700633205e-01,5.700560864484945089e-02,1.535597466027519842e-01,-4.602938494747743636e-03,1.032736773268866370e-02,5.578375650407240566e-02
5.300000000000000711e+00,2.711340527181925197e-01,7.238999999999999879e-01,6.410380000000000245e-02,1.463493484382284993e-01,6.434592298586948311e-02,1.467717276391904968e-01,5.970065708750481315e-02,1.571973215308940242e-01,-4.645265898364669965e-03,1.042559389170352735e-02,5.578375650407240566e-02
5.325000000000000178e+00,1.159821025884455237e+00,7.024000000000000243e-01,6.627709999999999158e-02,1.491191859611435411e-01,6.708849180218719177e-02,1.502363973029756383e-01,6.240157915938122912e-02,1.607584088287895840e-01,-4.686912642805962648e-03,1.052201152581394572e-02,5.578375650407240566e-02
5.350000000000000533e+00,-1.019782705709772891e-01,6.683999999999999941e-01,6.977260000000000406e-02,1.534702917863653981e-01,6.983067272733689546e-02,1.536210717117279800e-01,6.510275802696853520e-02,1.642375562760819696e-01,-4.727914700368360257e-03,1.061648456435398957e-02,5.578375650407240566e-02
5.375000000000000000e+00,6.798362889056519531e-02,6.455999999999999517e-01,7.326550000000001117e-02,1.576957339054436413e-01,7.256506140515821268e-02,1.569202212665890828e-01,6.779665563630614400e-02,1.676293311103918826e-01,-4.768405768852068682e-03,1.070910984380279984e-02,5.578375650407240566e-02
5.400000000000000355e+00,3.965029520887810022e-01,5.586999999999999744e-01,7.584250000000000713e-02,1.607395881209217614e-01,7.528259920868887733e-02,1.601279678443605914e-01,7.047405745337662064e-02,1.709281208304420652e-01,-4.808541755312256694e-03,1.080015298608147378e-02,5.578375650407240566e-02
