Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
8.200000000000001066e+00,-2.052640447236741217e+00,-6.517542978329751158e-01,-6.569027235356160732e-01,-1.526876745497222077e-01,-2.694692847843404238e+00,-6.811000000000000387e-01,-1.038242030883175238e+00,-1.748999999999999444e-01,3.707498044629398350e+02,5.676180471037459796e+01,-2.584234316453663111e-02,-2.430660000000000459e-02,-2.390170809090587725e-02,8.703464357229086235e-02,8.734674774530822028e-02,8.770143512466110902e-02,-1.128769867368275004e-01,-1.115800999999999876e-01,-1.115975378465512008e-01,8.703464357229086235e-02,8.760331114535138686e-02,8.764426195418285881e-02,-6.935966495068206228e-02,8.703464357229086235e-02
8.224999999999999645e+00,-1.743487210691057943e+00,-3.959329709786627571e-01,-4.586026228803485316e-01,8.905267770628379209e-02,-2.044315401042337221e+00,-3.840000000000000080e-01,-3.515780228771689386e-01,9.110000000000002818e-02,3.849284912872660698e+02,5.601621621987027311e+01,-2.368270627145017265e-02,-2.228929999999999800e-02,-2.173029133380121811e-02,8.878841121952064930e-02,8.898386658367889168e-02,8.945740818637794300e-02,-1.124711174909708289e-01,-1.111802000000000207e-01,-1.111820767020482437e-01,8.878841121952064930e-02,8.927533656876195101e-02,8.939991796694544968e-02,-6.807691188121049730e-02,8.878841121952064930e-02
8.250000000000000000e+00,-1.443973090627187927e+00,-1.922074249793951362e-01,-3.199948068052305139e-01,2.929706742689958676e-01,-6.631616223878676886e-01,-1.346000000000000529e-01,2.360890110721059199e-01,2.411000000000000365e-01,4.012145548422428760e+02,5.499148204749290159e+01,-2.130611599353190999e-02,-2.005680000000001004e-02,-1.934179613076019572e-02,9.065672237575897463e-02,9.073966781118518454e-02,9.132805877416197426e-02,-1.119628383692908846e-01,-1.106861000000000095e-01,-1.106642152961214570e-01,9.065672237575897463e-02,9.104859108878819718e-02,9.127025252194634342e-02,-6.663447718141139731e-02,9.065672237575897463e-02
8.275000000000000355e+00,-1.187881315284970540e+00,-5.854120008813348819e-02,-2.371697550518060693e-01,4.474073234194567150e-01,-1.701338006647927115e+00,-1.110999999999999627e-01,-9.329842150958984615e-01,4.515000000000000124e-01,4.186650073955614744e+02,5.375527484626442742e+01,-1.870625925629090802e-02,-1.715649999999999467e-02,-1.672999174137288630e-02,9.263846904821182449e-02,9.294576398570603137e-02,9.331219255704716053e-02,-1.113447283045027325e-01,-1.099753000000000119e-01,-1.100365286249689323e-01,9.263846904821182449e-02,9.326341390956899291e-02,9.325407102688372529e-02,-6.502549378039682026e-02,9.263846904821182449e-02
8.300000000000000711e+00,-1.019309435434203603e+00,-7.341110947919383262e-03,-2.055407406239432855e-01,5.390402485740273253e-01,-1.180250623040268065e+00,1.400000000000022537e-03,-7.517028722782187478e-02,5.715000000000000080e-01,4.362588846441996679e+02,5.241063541317962660e+01,-1.587671786010132202e-02,-1.442760000000001264e-02,-1.388854632668747729e-02,9.473188409396532395e-02,9.495987394250748892e-02,9.540795000300419937e-02,-1.106086019540666460e-01,-1.092481000000000008e-01,-1.092908251189640967e-01,9.473188409396532395e-02,9.527926919562244856e-02,9.534951330928806423e-02,-6.324265990708398399e-02,9.473188409396532395e-02
8.325000000000001066e+00,-9.794482297508855240e-01,-4.238251666022060937e-02,-2.252459700064302905e-01,5.557157498430187470e-01,-3.910769830030280114e-01,-1.680000000000003019e-02,5.718111592783076125e-02,5.624000000000000110e-01,4.529510113229904960e+02,5.108522258003901584e+01,-1.281134758963215631e-02,-1.100419999999999697e-02,-1.081137646392572003e-02,9.693465390028113693e-02,9.741555220006350990e-02,9.761296331314037178e-02,-1.097460014899132863e-01,-1.084140999999999994e-01,-1.084186532026623906e-01,9.693465390028113693e-02,9.737890028577161905e-02,9.755421082305258673e-02,-6.127867453977272477e-02,9.693465390028113693e-02
8.349999999999999645e+00,-1.090338755123985814e+00,-1.577136597477196978e-01,-3.013031514569979863e-01,4.909283882023709467e-01,-1.547196605812125592e+00,-1.835999999999999854e-01,-6.444807328171315852e-01,4.597999999999999865e-01,4.677268012756336475e+02,4.991791585795429853e+01,-9.504628438020253089e-03,-8.389000000000011031e-03,-7.492974203272820787e-03,9.924410858803167645e-02,9.924291192690157248e-02,9.992457452046552002e-02,-1.087487370260519226e-01,-1.074606000000000033e-01,-1.074118466480050021e-01,9.924410858803167645e-02,9.957103382627650878e-02,9.986550511589525891e-02,-5.912668273203609132e-02,9.924410858803167645e-02
8.375000000000000000e+00,-1.342835464131872936e+00,-3.388552592920323625e-01,-4.384265241195415830e-01,3.475427109391130975e-01,-1.230156210884397083e+00,-2.952000000000000179e-01,-2.317002185843033690e-01,3.639999999999999902e-01,4.796548805349121380e+02,4.904393589838524292e+01,-5.951958452841757397e-03,-4.444900000000004230e-03,-3.928696939970701719e-03,1.016574878065804044e-01,1.019272283164688458e-01,1.023400991640438934e-01,-1.076094462594221618e-01,-1.063710000000000072e-01,-1.062630782898231763e-01,1.016574878065804044e-01,1.018748684389090137e-01,1.022807117778250230e-01,-5.678070235613195960e-02,1.016574878065804044e-01
8.400000000000000355e+00,-1.695708300440090799e+00,-5.662718307523624262e-01,-6.353857983899428019e-01,1.389717284716270318e-01,-1.208054662706372850e+00,-5.789999999999999591e-01,-4.363708460606544048e-01,1.769000000000000017e-01,4.879344650296559394e+02,4.857978346809406389e+01,-2.149873342763085338e-03,-1.761999999999943624e-04,-1.150039780783098005e-04,1.041722627400559070e-01,1.047511710461956763e-01,1.048571204159017001e-01,-1.063221360828189854e-01,-1.051440000000000013e-01,-1.049663907605963842e-01,1.041722627400559070e-01,1.042851681359131949e-01,1.047974145672019020e-01,-5.423600471279103885e-02,1.041722627400559070e-01
8.425000000000000711e+00,-2.088820715933386918e+00,-8.203011590020650168e-01,-8.837693640402648487e-01,-1.130697538303530730e-01,-2.691843849357768992e+00,-8.608999999999999986e-01,-1.170086273499025831e+00,-7.879999999999998117e-02,4.919347556286382428e+02,4.860932642515447100e+01,1.903809554640797930e-03,3.697699999999997777e-03,3.950370535378233856e-03,1.067864743886074580e-01,1.072504825350515389e-01,1.074737901554523034e-01,-1.048826648339666601e-01,-1.035544999999999938e-01,-1.035176703961212807e-01,1.067864743886074580e-01,1.071911413404837560e-01,1.074137661568222990e-01,-5.148942763966293107e-02,1.067864743886074580e-01
