Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
6.000000000000000000e+00,1.246118014103748672e+00,5.925000000000000266e-01,2.907254000000000227e-01,1.764353340841067763e-01,2.906576641963231067e-01,1.764808149788740510e-01,3.080272924930040901e-01,2.020602084107886443e-01,1.736962829668098340e-02,2.557939343191459325e-02,1.462170021962233279e-01
6.025000000000000355e+00,1.981765029174318071e+00,1.016900000000000137e+00,2.901931999999999845e-01,1.765662337780063429e-01,2.901441406335590889e-01,1.765949978396582631e-01,3.076946420101051016e-01,2.024340107635255182e-01,1.755050137654601272e-02,2.583901292386725501e-02,1.462170021962233279e-01
6.050000000000000711e+00,2.090512023691164067e+00,1.410800000000000054e+00,2.891640999999999795e-01,1.765592524609983505e-01,2.893670593740136909e-01,1.766102934561092352e-01,3.071020732615902249e-01,2.027131891261641783e-01,1.773501388757653396e-02,2.610289567005494304e-02,1.462170021962233279e-01
6.075000000000000178e+00,2.399182909387523210e+00,2.126800000000000246e+00,2.879125000000000156e-01,1.764074088160748621e-01,2.883233029579523321e-01,1.765175271831487536e-01,3.062470469667122885e-01,2.028896268255508673e-01,1.792374400875995644e-02,2.637209964240211368e-02,1.462170021962233279e-01
6.100000000000000533e+00,3.560482532079653151e+00,2.361699999999999910e+00,2.872862999999999944e-01,1.763026890609551978e-01,2.870090625200163448e-01,1.763060330136742571e-01,3.051263745420599305e-01,2.029537861726803671e-01,1.811731202204358571e-02,2.664775315900611008e-02,1.462170021962233279e-01
6.125000000000000000e+00,3.358309206193414553e+00,2.662600000000000300e+00,2.858763000000000276e-01,1.760094737466201542e-01,2.854203239411311488e-01,1.759642337504674914e-01,3.037366692344272145e-01,2.028952034236467250e-01,1.831634529329606575e-02,2.693096967317923363e-02,1.462170021962233279e-01
6.150000000000000355e+00,2.739630183068666902e+00,2.926199999999999690e+00,2.842173000000000060e-01,1.755923400553935365e-01,2.835533941717991446e-01,1.754802823038466852e-01,3.020748593132513427e-01,2.027030761031863582e-01,1.852146514145219802e-02,2.722279379933967292e-02,1.462170021962233279e-01
6.175000000000000711e+00,4.986029852491310699e+00,3.234899999999999665e+00,2.818858000000000197e-01,1.749081709886117220e-01,2.814054316688111013e-01,1.748427271028458185e-01,3.001387173360513527e-01,2.023669076159711477e-01,1.873328566724025146e-02,2.752418051312532921e-02,1.462170021962233279e-01
6.200000000000000178e+00,4.988596165797048343e+00,3.354199999999999626e+00,2.795555000000000123e-01,1.741472074347422128e-01,2.789749445573489472e-01,1.740411622417543935e-01,2.979273503443598536e-01,2.018771508274891657e-01,1.895240578701090639e-02,2.783598858573477219e-02,1.462170021962233279e-01
6.225000000000000533e+00,4.691941846640442115e+00,3.483299999999999841e+00,2.765239000000000447e-01,1.730685939570097143e-01,2.762622207259102791e-01,1.730668211493738839e-01,2.954416032226843125e-01,2.012257864224807624e-01,1.917938249677403340e-02,2.815896527310687847e-02,1.462170021962233279e-01
6.250000000000000000e+00,5.035115046317215182e+00,3.497099999999999653e+00,2.741578000000000070e-01,1.721697493922326183e-01,2.732696570546050419e-01,1.719130742986195726e-01,2.926843453369573633e-01,2.004067862250759335e-01,1.941468828235232147e-02,2.849371192645636097e-02,1.462170021962233279e-01
6.275000000000000355e+00,5.541480329616873313e+00,3.458000000000000185e+00,2.710776999999999770e-01,1.709340562818206233e-01,2.700019613776780680e-01,1.705757984101050062e-01,2.896606270776370118e-01,1.994164354853233956e-01,1.965866569995894375e-02,2.884063707521838937e-02,1.462170021962233279e-01
6.300000000000000711e+00,4.672131569050546496e+00,3.436099999999999710e+00,2.671386999999999512e-01,1.692637761876620850e-01,2.664662103322652520e-01,1.690535957430553959e-01,2.863777032092580388e-01,1.982535096239207428e-01,1.991149287699278680e-02,2.919991388086534689e-02,1.462170021962233279e-01
6.325000000000000178e+00,4.379498948747780673e+00,3.360899999999999999e+00,2.634927000000000241e-01,1.676458559710633234e-01,2.626717576047471470e-01,1.673478549077573041e-01,2.828449270023868367e-01,1.969193145887047081e-01,2.017316939763968975e-02,2.957145968094740396e-02,1.462170021962233279e-01
6.350000000000000533e+00,4.797803773585328280e+00,3.197000000000000064e+00,2.583388999999999824e-01,1.652617362128390721e-01,2.586299984217721448e-01,1.654626567779968749e-01,2.790735258381514816e-01,1.954176055445337179e-01,2.044352741637933679e-02,2.995494876653684302e-02,1.462170021962233279e-01
6.375000000000000000e+00,3.792286922549415351e+00,3.019499999999999851e+00,2.549666999999999906e-01,1.636525426425003149e-01,2.543540059894699445e-01,1.634045392087741522e-01,2.750762741427261737e-01,1.937543985203169228e-01,2.072226815325622917e-02,3.034985931154277061e-02,1.462170021962233279e-01
6.400000000000000355e+00,2.830269841611138926e+00,2.785199999999999676e+00,2.507840000000000069e-01,1.616052714299109627e-01,2.498580635520145643e-01,1.611821423357197580e-01,2.708670804753623429e-01,1.919376864953746820e-01,2.100901692334777859e-02,3.075554415965492394e-02,1.462170021962233279e-01
6.425000000000000711e+00,3.316142950760601504e+00,2.592100000000000293e+00,2.456797000000000009e-01,1.590466187464872616e-01,2.451571223001102473e-01,1.588057629293089801e-01,2.664605027700018836e-01,1.899770676052199569e-01,2.130338046989163625e-02,3.117130467591097687e-02,1.462170021962233279e-01
6.450000000000000178e+00,2.428397880944957343e+00,2.340600000000000236e+00,2.410656999999999939e-01,1.566851882685389163e-01,2.402662209008191441e-01,1.562868518863467782e-01,2.618712053320638167e-01,1.878832940498720572e-01,2.160498443124467260e-02,3.159644216352527901e-02,1.462170021962233279e-01
6.475000000000000533e+00,3.072288515316573321e+00,1.931300000000000017e+00,2.362214000000000258e-01,1.541666781579111301e-01,2.351999062701540522e-01,1.536374925562237204e-01,2.571133811488865994e-01,1.856677627372080586e-01,2.191347487873254729e-02,3.203027018098433820e-02,1.462170021962233279e-01
