Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad)
1.875000000000000000e+00,-4.656980467602322982e-03,4.624010137367351447e-04,-5.079944402830938177e-03,9.612095644832563401e-04,-5.119381481339085882e-03,-5.119381481339085882e-03,-6.041153967314222273e-03,-6.041153967314222273e-03
1.900000000000000133e+00,-4.656886278656235945e-03,4.407655710734759147e-04,-5.109615432829950343e-03,9.575343834342109339e-04,-5.097651849729684104e-03,-5.097651849729684104e-03,-6.067149816264161277e-03,-6.067149816264161277e-03
1.925000000000000044e+00,-4.650968987692849499e-03,4.167291247902660256e-04,-5.134649324705642393e-03,9.520939579576448430e-04,-5.067698112483171036e-03,-5.067698112483171036e-03,-6.086743282663342747e-03,-6.086743282663342747e-03
1.950000000000000178e+00,-4.637895456739093980e-03,3.897665106762926435e-04,-5.153643143937791660e-03,9.442840984943134952e-04,-5.027661967415386624e-03,-5.027661967415386624e-03,-6.097927242432105155e-03,-6.097927242432105155e-03
1.975000000000000089e+00,-4.616413792258300397e-03,3.594322269352967503e-04,-5.165250006382404724e-03,9.335676766279443761e-04,-4.975846019193624903e-03,-4.975846019193624903e-03,-6.098817683010404611e-03,-6.098817683010404611e-03
2.000000000000000000e+00,-4.585451704581744448e-03,3.253894471640927932e-04,-5.168274373100967267e-03,9.195020798308528587e-04,-4.910841151745864996e-03,-4.910841151745864996e-03,-6.087776452931820126e-03,-6.087776452931820126e-03
2.024999999999999911e+00,-4.544186740661926294e-03,2.874251007563277671e-04,-5.161752401392105671e-03,9.017499457395217188e-04,-4.831611841418254061e-03,-4.831611841418254061e-03,-6.063502347131599635e-03,-6.063502347131599635e-03
2.050000000000000266e+00,-4.492079982281071970e-03,2.454514305720856271e-04,-5.145010977856689927e-03,8.800881882748967655e-04,-4.737531412853157597e-03,-4.737531412853157597e-03,-6.025099166131614448e-03,-6.025099166131614448e-03
2.075000000000000178e+00,-4.428878182059448054e-03,1.994963561534612850e-04,-5.117703808245110952e-03,8.544284533156532024e-04,-4.628374538212909339e-03,-4.628374538212909339e-03,-5.972132261560736399e-03,-5.972132261560736399e-03
2.100000000000000089e+00,-4.354600003529607299e-03,1.496873001136656001e-04,-5.079825588336306375e-03,8.248468242635920156e-04,-4.504287303643300655e-03,-4.504287303643300655e-03,-5.904672412599898390e-03,-5.904672412599898390e-03
2.125000000000000000e+00,-4.269520968031237373e-03,9.623379865542069922e-05,-5.031704425133121106e-03,7.916035535399656986e-04,-4.365754766686658073e-03,-4.365754766686658073e-03,-5.823307978673086804e-03,-5.823307978673086804e-03
2.149999999999999911e+00,-4.174158081710066526e-03,3.941210270383410652e-05,-4.973970785869363809e-03,7.551300473115918344e-04,-4.213570184413900632e-03,-4.213570184413900632e-03,-5.729100833180927888e-03,-5.729100833180927888e-03
2.175000000000000266e+00,-4.069241752716279414e-03,-2.044790655814088254e-05,-4.907503380156219563e-03,7.159757067084493443e-04,-4.048793846158110776e-03,-4.048793846158110776e-03,-5.623479086864641152e-03,-5.623479086864641152e-03
2.200000000000000178e+00,-3.955664063162167565e-03,-8.297474380714042752e-05,-4.833358850073687929e-03,6.747308093288384434e-04,-3.872689319355054893e-03,-3.872689319355054893e-03,-5.508089659402526372e-03,-5.508089659402526372e-03
2.225000000000000089e+00,-3.834407955933094581e-03,-1.477682711469863186e-04,-4.752696050159210817e-03,6.319549389971756970e-04,-3.686639684786136018e-03,-3.686639684786136018e-03,-5.384650989156414269e-03,-5.384650989156414269e-03
